antecedent,consequent,support,confidence,lift
wifi,charging_station,0.026,0.379,3.06
charging_station,wifi,0.026,0.212,3.06
shopping,currency_exchange,0.021,0.273,2.44
currency_exchange,shopping,0.021,0.191,2.44
restroom,restaurant,0.033,0.275,2.22
restaurant,restroom,0.033,0.269,2.22
information_desk,restaurant,0.029,0.273,2.2
restaurant,information_desk,0.029,0.231,2.2
lounge,charging_station,0.024,0.217,1.76
charging_station,lounge,0.024,0.192,1.76
transit_connection,transfer_desk,0.026,0.229,1.69
transfer_desk,transit_connection,0.026,0.193,1.69
transit_connection,charging_station,0.024,0.208,1.68
charging_station,transit_connection,0.024,0.192,1.68
security,transfer_desk,0.021,0.225,1.66
transfer_desk,security,0.021,0.158,1.66
currency_exchange,boarding_time,0.024,0.213,1.62
boarding_time,currency_exchange,0.024,0.182,1.62
charging_station,boarding_time,0.024,0.192,1.47
boarding_time,charging_station,0.024,0.182,1.47
lounge,transfer_desk,0.021,0.196,1.44
transfer_desk,lounge,0.021,0.158,1.44
check_in,find_gate,0.026,0.275,1.39
security,find_gate,0.026,0.275,1.39
find_gate,check_in,0.026,0.133,1.39
