,precision,recall,f1-score,support
atm,0.8666666666666667,0.8125,0.8387096774193549,16.0
bag_storage,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
baggage_claim,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
baggage_drop,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
baggage_wrapping,1.0,0.5,0.6666666666666666,4.0
boarding_time,0.8382352941176471,0.9193548387096774,0.8769230769230769,62.0
bus_stop,1.0,0.7894736842105263,0.8823529411764706,19.0
car_rental,1.0,0.7857142857142857,0.88,14.0
charging_station,0.96,0.8421052631578947,0.897196261682243,57.0
check_in,0.7169811320754716,0.8837209302325582,0.7916666666666666,43.0
coffee_shop,0.7272727272727273,1.0,0.8421052631578947,16.0
currency_exchange,0.88,0.8979591836734694,0.8888888888888888,49.0
customs,0.7777777777777778,0.8235294117647058,0.8,34.0
duty_free,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0
emergency_exit,1.0,0.4444444444444444,0.6153846153846154,9.0
family_room,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0
find_gate,0.8617021276595744,0.8901098901098901,0.8756756756756757,91.0
flight_status,0.825,0.9166666666666666,0.868421052631579,36.0
gate_change,0.5555555555555556,0.5,0.5263157894736842,10.0
halal_food,1.0,0.6666666666666666,0.8,6.0
hotel_airside,0.5,0.14285714285714285,0.2222222222222222,7.0
hotel_shuttle,0.7777777777777778,0.5,0.6086956521739131,14.0
immigration,0.9047619047619048,0.7037037037037037,0.7916666666666666,27.0
information_desk,0.45918367346938777,0.9782608695652174,0.625,46.0
kids_play_area,0.9666666666666667,0.90625,0.9354838709677419,32.0
lost_and_found,0.7,0.7,0.7,10.0
lost_child,0.7142857142857143,0.625,0.6666666666666666,16.0
lounge,0.875,0.9245283018867925,0.8990825688073395,53.0
luggage_trolley,1.0,0.5555555555555556,0.7142857142857143,9.0
medical_assistance,0.16666666666666666,0.3333333333333333,0.2222222222222222,6.0
out_of_scope,0.0,0.0,0.0,0.0
oversized_baggage,0.5,0.16666666666666666,0.25,6.0
parking,0.7857142857142857,1.0,0.88,11.0
pharmacy,0.875,0.7777777777777778,0.8235294117647058,9.0
police_desk,0.5,0.5,0.5,10.0
prayer_room,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
restaurant,0.875,0.9074074074074074,0.8909090909090909,54.0
restroom,0.8771929824561403,0.8928571428571429,0.8849557522123894,56.0
security,1.0,0.9523809523809523,0.975609756097561,42.0
self_checkin_kiosk,0.6,0.3,0.4,10.0
shopping,0.9032258064516129,0.8235294117647058,0.8615384615384616,34.0
shower_facility,0.9,0.8780487804878049,0.8888888888888888,41.0
sleeping_area,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
smoking_area,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
special_assistance,0.8571428571428571,0.42857142857142855,0.5714285714285714,28.0
transfer_desk,0.8148148148148148,0.4782608695652174,0.6027397260273972,46.0
transit_connection,0.7307692307692307,0.4523809523809524,0.5588235294117647,42.0
transport,0.75,0.9545454545454546,0.84,22.0
uber_pickup,0.7857142857142857,1.0,0.88,11.0
unattended_baggage,1.0,0.45454545454545453,0.625,11.0
vending_machine,0.8333333333333334,0.5,0.625,10.0
visa_on_arrival,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
water_fountain,0.6666666666666666,0.6,0.631578947368421,10.0
wifi,0.7647058823529411,0.8387096774193549,0.8,31.0
accuracy,0.8096296296296296,0.8096296296296296,0.8096296296296296,0.8096296296296296
macro avg,0.7898157364674321,0.7214836029874307,0.73496100494382,1350.0
weighted avg,0.8295104697280614,0.8096296296296296,0.8055803251505387,1350.0
